id,class,support,semantic_P,semantic_R,semantic_F1,one_vs_rest_accuracy,global_accuracy,V17_TP,V17_FP,V17_FN,pooled_P,pooled_R,pooled_F1,ROI_P,ROI_R,ROI_F1
p3_B4_real_s43_cv2,melanophage,5,0.5,0.8,0.6153846153846154,0.9494949494949495,0.5252525252525253,4,4,1,0.5,0.8,0.6153846153846154,0.0851063829787234,0.0851063829787234,0.0851063829787234
p3_B4_real_s43_cv2,neutrophil,8,0.75,0.75,0.75,0.9595959595959596,0.5252525252525253,6,2,2,0.75,0.75,0.75,0.10638297872340426,0.1276595744680851,0.11347517730496454
p3_B4_real_s43_cv2,stroma,10,0.5714285714285714,0.4,0.47058823529411764,0.9090909090909091,0.5252525252525253,4,3,6,0.5714285714285714,0.4,0.47058823529411764,0.0851063829787234,0.0851063829787234,0.0851063829787234
p3_B4_real_s43_cv2,epithelium,5,0.6,0.6,0.6,0.9595959595959596,0.5252525252525253,3,2,2,0.6,0.6,0.6,0.05319148936170213,0.06382978723404255,0.05673758865248227
p3_B4_real_s43_cv2,endothelium,7,0.26666666666666666,0.5714285714285714,0.36363636363636365,0.8585858585858586,0.5252525252525253,4,11,3,0.26666666666666666,0.5714285714285714,0.36363636363636365,0.04964539007092198,0.0851063829787234,0.06028368794326241
p3_B4_real_s43_cv2,apoptosis,8,0.25,0.25,0.25,0.8787878787878788,0.5252525252525253,2,6,7,0.25,0.2222222222222222,0.23529411764705882,0.0425531914893617,0.0425531914893617,0.0425531914893617
p3_B4_shuffle_s17_cv0,tumor,19,0.48148148148148145,0.6842105263157895,0.5652173913043478,0.782608695652174,0.42391304347826086,13,14,6,0.48148148148148145,0.6842105263157895,0.5652173913043478,0.22826086956521738,0.25,0.23188405797101447
p3_B4_shuffle_s17_cv0,lymphocyte,13,0.4,0.46153846153846156,0.42857142857142855,0.8260869565217391,0.42391304347826086,6,9,7,0.4,0.46153846153846156,0.42857142857142855,0.10869565217391304,0.13043478260869565,0.11594202898550723
p3_B4_shuffle_s17_cv0,plasma_cell,11,0.6,0.2727272727272727,0.375,0.8913043478260869,0.42391304347826086,3,2,8,0.6,0.2727272727272727,0.37499999999999994,0.03623188405797101,0.043478260869565216,0.0391304347826087
p3_B4_shuffle_s17_cv0,histiocyte,7,0.0,0.0,0.0,0.8913043478260869,0.42391304347826086,0,3,7,0.0,0.0,0.0,0.0,0.0,0.0
p3_B4_shuffle_s17_cv0,melanophage,7,0.5,0.8571428571428571,0.631578947368421,0.9239130434782609,0.42391304347826086,6,6,1,0.5,0.8571428571428571,0.631578947368421,0.10869565217391304,0.13043478260869565,0.11594202898550723
p3_B4_shuffle_s17_cv0,neutrophil,5,0.5,0.2,0.2857142857142857,0.9456521739130435,0.42391304347826086,1,1,4,0.5,0.2,0.28571428571428575,0.021739130434782608,0.021739130434782608,0.021739130434782608
p3_B4_shuffle_s17_cv0,stroma,6,0.2,0.3333333333333333,0.25,0.8695652173913043,0.42391304347826086,2,8,4,0.2,0.3333333333333333,0.25,0.03260869565217391,0.043478260869565216,0.03623188405797101
p3_B4_shuffle_s17_cv0,epithelium,12,0.7142857142857143,0.4166666666666667,0.5263157894736842,0.9021739130434783,0.42391304347826086,5,2,7,0.7142857142857143,0.4166666666666667,0.5263157894736842,0.09782608695652174,0.10869565217391304,0.10144927536231883
p3_B4_shuffle_s17_cv0,endothelium,8,0.25,0.125,0.16666666666666666,0.8913043478260869,0.42391304347826086,1,3,7,0.25,0.125,0.16666666666666666,0.021739130434782608,0.021739130434782608,0.021739130434782608
p3_B4_shuffle_s17_cv0,apoptosis,4,0.2857142857142857,0.5,0.36363636363636365,0.9239130434782609,0.42391304347826086,2,5,2,0.2857142857142857,0.5,0.36363636363636365,0.043478260869565216,0.043478260869565216,0.043478260869565216
p3_B4_shuffle_s17_cv1,tumor,28,0.5517241379310345,0.5714285714285714,0.5614035087719298,0.7706422018348624,0.41284403669724773,16,13,12,0.5517241379310345,0.5714285714285714,0.5614035087719299,0.2152777777777778,0.2604166666666667,0.22569444444444442
p3_B4_shuffle_s17_cv1,lymphocyte,6,0.2222222222222222,0.3333333333333333,0.26666666666666666,0.8990825688073395,0.41284403669724773,2,7,4,0.2222222222222222,0.3333333333333333,0.26666666666666666,0.03125,0.041666666666666664,0.03472222222222222
p3_B4_shuffle_s17_cv1,plasma_cell,6,0.0,0.0,0.0,0.926605504587156,0.41284403669724773,0,2,6,0.0,0.0,0.0,0.0,0.0,0.0
p3_B4_shuffle_s17_cv1,histiocyte,10,0.2727272727272727,0.3,0.2857142857142857,0.8623853211009175,0.41284403669724773,3,8,7,0.2727272727272727,0.3,0.28571428571428564,0.0625,0.052083333333333336,0.05555555555555555
