group_type,group,n,dice_mean,dice_median,dice_finite_n,iou_mean,iou_median,iou_finite_n,area_relative_error_mean,area_relative_error_median,area_relative_error_finite_n,centroid_error_mean,centroid_error_median,centroid_error_finite_n,occupancy_mean,occupancy_median,occupancy_finite_n,quality_confidence_mean,quality_confidence_median,quality_confidence_finite_n,presence_confidence_mean,presence_confidence_median,presence_confidence_finite_n,area_pearson,major_pearson,minor_pearson,eccentricity_pearson,perimeter_pearson,circularity_pearson,confidence_vs_iou_pearson
by_roi,training_set_metastatic_roi_089,1,0.9512727272727273,0.9512727272727273,1,0.9070735090152566,0.9070735090152566,1,0.06064880112834979,0.06064880112834979,1,0.4803406387657686,0.4803406387657686,1,0.072265625,0.072265625,1,0.8643970489501953,0.8643970489501953,1,0.9992362260818481,0.9992362260818481,1,,,,,,,
by_roi,training_set_metastatic_roi_090,2,0.8736933282629822,0.8736933282629822,2,0.7792929899742347,0.7792929899742347,2,0.21688734849742652,0.21688734849742652,2,1.2053709231753107,1.2053709231753107,2,0.030490451388888888,0.030490451388888888,2,0.866425633430481,0.866425633430481,2,0.9968730807304382,0.9968730807304382,2,,,,,,,
by_roi,training_set_metastatic_roi_091,2,0.46908859145952836,0.46908859145952836,2,0.4417767106842737,0.4417767106842737,2,0.5644504748982361,0.5644504748982361,2,0.7913646039275825,0.7913646039275825,1,0.04513888888888889,0.04513888888888889,2,0.661277174949646,0.661277174949646,2,0.5873448103666306,0.5873448103666306,2,,,,,,,
by_roi,training_set_metastatic_roi_092,2,0.8786756804591598,0.8786756804591598,2,0.7844500663903754,0.7844500663903754,2,0.25059143222506397,0.25059143222506397,2,1.5265324613566902,1.5265324613566902,2,0.07112630208333334,0.07112630208333334,2,0.8458674848079681,0.8458674848079681,2,0.9976239204406738,0.9976239204406738,2,,,,,,,
by_roi,training_set_metastatic_roi_093,1,0.9380863039399625,0.9380863039399625,1,0.8833922261484098,0.8833922261484098,1,0.003745318352059925,0.003745318352059925,1,0.025104249521309102,0.025104249521309102,1,0.028862847222222224,0.028862847222222224,1,0.866753339767456,0.866753339767456,1,0.9994938373565674,0.9994938373565674,1,,,,,,,
by_roi,training_set_metastatic_roi_094,2,0.8200588634820014,0.8200588634820014,2,0.7058785022257135,0.7058785022257135,2,0.25593002849432944,0.25593002849432944,2,3.4119462681284225,3.4119462681284225,2,0.05159505208333333,0.05159505208333333,2,0.726787656545639,0.726787656545639,2,0.9692108929157257,0.9692108929157257,2,,,,,,,
by_roi,training_set_metastatic_roi_095,1,0.9303482587064676,0.9303482587064676,1,0.8697674418604651,0.8697674418604651,1,0.009900990099009901,0.009900990099009901,1,0.7353544865972682,0.7353544865972682,1,0.021701388888888888,0.021701388888888888,1,0.8007519841194153,0.8007519841194153,1,0.9955276846885681,0.9955276846885681,1,,,,,,,
by_roi,training_set_metastatic_roi_097,2,0.9352055660974068,0.9352055660974068,2,0.8790741699855339,0.8790741699855339,2,0.13356511328053047,0.13356511328053047,2,0.7018555973168448,0.7018555973168448,2,0.037163628472222224,0.037163628472222224,2,0.876523345708847,0.876523345708847,2,0.9850991666316986,0.9850991666316986,2,,,,,,,
by_roi,training_set_metastatic_roi_098,3,0.8589466089466088,0.875,3,0.7564441122737087,0.7777777777777778,3,0.337484303736524,0.2857142857142857,3,0.7824926080095759,0.885897629333452,3,0.04466869212962963,0.033203125,3,0.8465330799420675,0.8880574107170105,3,0.9965957204500834,0.9987323880195618,3,0.9980865298483681,0.9718468037392184,0.9978529439010856,0.995145880068576,0.990614997387932,0.9857036959025905,0.929420181507302
by_roi,training_set_metastatic_roi_099,1,0.5611940298507463,0.5611940298507463,1,0.3900414937759336,0.3900414937759336,1,1.1904761904761905,1.1904761904761905,1,10.662246904719336,10.662246904719336,1,0.07486979166666667,0.07486979166666667,1,0.7726491093635559,0.7726491093635559,1,0.9987818598747253,0.9987818598747253,1,,,,,,,
