prompt,run_id,seed,fold,epoch,split,class_name,support,predicted,precision,recall,f1,TP,FP,FN,dominant_confusion,class_diagnostics
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,5,train,apoptosis,3,3,1.0,1.0,1.0,3,0,0,[],NOT RECORDED IN ORIGINAL RUN
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,5,val,tumor,2,2,0.5,0.5,0.5,1,1,1,"[[""neutrophil"",1]]",NOT RECORDED IN ORIGINAL RUN
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,5,val,lymphocyte,2,1,0.0,0.0,0.0,0,1,2,"[[""stroma"",2]]",NOT RECORDED IN ORIGINAL RUN
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,5,val,plasma_cell,2,0,0.0,0.0,0.0,0,0,2,"[[""melanophage"",1],[""stroma"",1]]",NOT RECORDED IN ORIGINAL RUN
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,5,val,histiocyte,2,2,0.0,0.0,0.0,0,2,2,"[[""tumor"",1],[""epithelium"",1]]",NOT RECORDED IN ORIGINAL RUN
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,5,val,melanophage,2,3,0.6666666666666666,1.0,0.8,2,1,0,[],NOT RECORDED IN ORIGINAL RUN
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,5,val,neutrophil,2,4,0.5,1.0,0.6666666666666666,2,2,0,[],NOT RECORDED IN ORIGINAL RUN
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,5,val,stroma,2,4,0.25,0.5,0.3333333333333333,1,3,1,"[[""histiocyte"",1]]",NOT RECORDED IN ORIGINAL RUN
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,5,val,epithelium,2,3,0.3333333333333333,0.5,0.4,1,2,1,"[[""endothelium"",1]]",NOT RECORDED IN ORIGINAL RUN
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,5,val,endothelium,2,1,0.0,0.0,0.0,0,1,2,"[[""lymphocyte"",1],[""histiocyte"",1]]",NOT RECORDED IN ORIGINAL RUN
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,5,val,apoptosis,2,0,0.0,0.0,0.0,0,0,2,"[[""neutrophil"",1],[""epithelium"",1]]",NOT RECORDED IN ORIGINAL RUN
1,LORA_EXCLUDED_lora.partial,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,1,train,tumor,3,2,0.5,0.3333333333333333,0.4,1,1,2,"[[""plasma_cell"",1],[""stroma"",1]]",NOT RECORDED IN ORIGINAL RUN
1,LORA_EXCLUDED_lora.partial,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,1,train,lymphocyte,3,2,1.0,0.6666666666666666,0.8,2,0,1,"[[""stroma"",1]]",NOT RECORDED IN ORIGINAL RUN
1,LORA_EXCLUDED_lora.partial,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,1,train,plasma_cell,3,7,0.42857142857142855,1.0,0.6,3,4,0,[],NOT RECORDED IN ORIGINAL RUN
1,LORA_EXCLUDED_lora.partial,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,1,train,histiocyte,3,5,0.6,1.0,0.75,3,2,0,[],NOT RECORDED IN ORIGINAL RUN
1,LORA_EXCLUDED_lora.partial,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,1,train,melanophage,3,0,0.0,0.0,0.0,0,0,3,"[[""histiocyte"",2],[""epithelium"",1]]",NOT RECORDED IN ORIGINAL RUN
1,LORA_EXCLUDED_lora.partial,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,1,train,neutrophil,3,0,0.0,0.0,0.0,0,0,3,"[[""stroma"",2],[""tumor"",1]]",NOT RECORDED IN ORIGINAL RUN
1,LORA_EXCLUDED_lora.partial,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,1,train,stroma,3,6,0.3333333333333333,0.6666666666666666,0.4444444444444444,2,4,1,"[[""plasma_cell"",1]]",NOT RECORDED IN ORIGINAL RUN
1,LORA_EXCLUDED_lora.partial,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,1,train,epithelium,3,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1,"[[""endothelium"",1]]",NOT RECORDED IN ORIGINAL RUN
