architecture,seed,uid,class,category,classification_delta,dice,iou,area_relative_error,correction_norm,index
A5,17,training_set_primary_roi_042:397,epithelium,both_wrong,0,0.9363905325443787,0.8803894297635605,0.09577464788732394,0.8095007538795471,294
A5,17,training_set_primary_roi_043:597,melanophage,both_wrong,0,0.5263157894736842,0.35714285714285715,0.6428571428571429,5.273845672607422,295
A5,17,training_set_primary_roi_044:160,histiocyte,both_correct,0,0.9681978798586572,0.9383561643835616,0.016355140186915886,0.46251538395881653,296
A5,17,training_set_primary_roi_044:215,epithelium,both_correct,0,0.9080459770114943,0.8315789473684211,0.16842105263157894,0.9715546369552612,297
A5,17,training_set_primary_roi_044:272,melanophage,both_wrong,0,0.9053333333333333,0.8270401948842875,0.16401468788249693,1.5872046947479248,298
A5,17,training_set_primary_roi_044:415,endothelium,both_correct,0,0.671120246659815,0.5050270688321732,0.748587570621469,2.3666739463806152,299
A5,17,training_set_primary_roi_045:533,tumor,both_correct,0,0.7194570135746606,0.5618374558303887,0.375,2.26485276222229,300
A5,17,training_set_primary_roi_045:561,tumor,A1_correct_candidate_wrong,-1,0.6733772995487678,0.5075876504447933,0.8638170974155069,2.2727322578430176,301
A5,17,training_set_primary_roi_047:82,histiocyte,both_wrong,0,0.9656146961846443,0.9335154826958105,0.04151291512915129,2.172748327255249,307
A5,17,training_set_primary_roi_047:507,lymphocyte,both_correct,0,0.9555822328931572,0.9149425287356322,0.021844660194174758,3.8296706676483154,308
A5,17,training_set_primary_roi_047:775,lymphocyte,both_correct,0,0.9761634506242906,0.9534368070953437,0.020224719101123594,4.038093566894531,309
A5,17,training_set_primary_roi_048:16,melanophage,both_wrong,0,0.9517241379310345,0.9078947368421053,0.04225352112676056,1.3501847982406616,310
A5,17,training_set_primary_roi_048:173,histiocyte,both_wrong,0,0.9737556561085973,0.9488536155202821,0.01615798922800718,0.6493879556655884,311
A5,17,training_set_primary_roi_048:432,endothelium,both_wrong,0,0.9666110183639399,0.9353796445880452,0.010067114093959731,0.8460832834243774,312
A5,17,training_set_primary_roi_048:693,apoptosis,both_wrong,0,0.927536231884058,0.8648648648648649,0.09090909090909091,2.9224424362182617,313
A5,17,training_set_primary_roi_048:796,neutrophil,both_correct,0,0.711168164313222,0.5517928286852589,0.44510978043912175,1.08022141456604,314
A5,17,training_set_primary_roi_049:221,endothelium,both_wrong,0,0.8291814946619217,0.7082066869300911,0.39148936170212767,1.1465016603469849,315
A5,17,training_set_primary_roi_049:364,plasma_cell,both_wrong,0,0.8960573476702509,0.8116883116883117,0.232,0.7719213366508484,316
A5,17,training_set_primary_roi_051:148,lymphocyte,both_wrong,0,0.9640449438202248,0.93058568329718,0.0045045045045045045,0.2929994761943817,317
A5,17,training_set_primary_roi_052:127,histiocyte,both_correct,0,0.9734265734265735,0.9482288828337875,0.022130013831258646,0.9578941464424133,318
